"filename", "language", "PHP", "HTML", "JavaScript", "CSS", "JSON", "XML", "YAML", "Markdown", "comment", "blank", "total"
"c:\laragon\www\rhtabiat\app\Models\Cart.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 20, 7, 67
"c:\laragon\www\rhtabiat\app\Models\City.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\laragon\www\rhtabiat\app\Models\Comment.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 34, 14, 114
"c:\laragon\www\rhtabiat\app\Models\DiscountCode.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 5, 12, 78
"c:\laragon\www\rhtabiat\app\Models\DiscountCodeGroup.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\laragon\www\rhtabiat\app\Models\GuestOrder.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"c:\laragon\www\rhtabiat\app\Models\Image.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 0, 31, 19, 149
"c:\laragon\www\rhtabiat\app\Models\Log.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\laragon\www\rhtabiat\app\Models\Message.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 21, 7, 44
"c:\laragon\www\rhtabiat\app\Models\Order.php", "PHP", 162, 0, 0, 0, 0, 0, 0, 0, 40, 28, 230
"c:\laragon\www\rhtabiat\app\Models\Phone.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 16, 7, 39
"c:\laragon\www\rhtabiat\app\Models\Product.php", "PHP", 204, 0, 0, 0, 0, 0, 0, 0, 47, 49, 300
"c:\laragon\www\rhtabiat\app\Models\ProductCategory.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"c:\laragon\www\rhtabiat\app\Models\ProductItem.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\laragon\www\rhtabiat\app\Models\PromoCode.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 0, 15, 16, 85
"c:\laragon\www\rhtabiat\app\Models\Province.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\laragon\www\rhtabiat\app\Models\ReturnRequest.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\laragon\www\rhtabiat\app\Models\Transaction.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 25, 9, 67
"c:\laragon\www\rhtabiat\app\Models\User.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 25, 18, 122
"c:\laragon\www\rhtabiat\app\Models\UserDetail.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 22, 10, 52
